ID,Text,Comment
LV.BHP.EnableMaintenance,"Enable maintenance",
LV.BHP.EnableMaintenanceDesc,"Buildings will deteriorate over time and require maintenance to keep them functional.
Does not affect unfinished buildings.
Can only be changed on the Main Menu.",
LV.BHP.MaintenanceHPDays,"Maintenance days per HP",
LV.BHP.MaintenanceHPDaysDesc,"How many days before 1HP is lost due to maintenance.",
LV.BHP.EnableMaterialDurability,"Enable material Durability",
LV.BHP.EnableMaterialDurabilityDesc,"Buildings will gain Durability from materials used in their construction.
<RedHighlight>WARNING:</RedHighlight> Disabling this also removes invulnerability from buildings without cost.
Can only be changed on the Main Menu.",
LV.BHP.AutoRepair,"Auto-repair",
LV.BHP.AutoRepairHP,"HP% threshold",
LV.BHP.HPTooltip,"HP: {0}
Durability: {1}
{2}",
LV.BHP.HPTooltipDurability,"• {0} from {1}",
LV.BHP.HPTooltipInvul,"• Invulnerability from {0}",
LV.BHP.MaterialDurability,"Construction materials",
LV.BHP.HP,"HP: {0} / {1}",
LV.BHP.HPInvul,"HP: {0} / {1}, Invulnerable",
LV.BHP.Repair,"Repair",
LV.BHP.BaseDurabilityTooltip,"Base Durability",
LV.BHP.EnableWarnLowHp,"Low building HP warning",
LV.BHP.EnableWarnLowHpDesc,"Show a warning when a building's HP is low.
Note: if a building max HP is below the threshold, the warning is only shown if the building is damaged.",
LV.BHP.LowHpThreshold,"Low HP threshold",
LV.BHP.LowHpThresholdDesc,"The HP threshold below which a warning will be shown.",
LV.BHP.EnableWarnLowHpPerc,"Low building HP percentage warning",
LV.BHP.EnableWarnLowHpPercDesc,"Show a warning when a building's HP is below a certain percentage.",
LV.BHP.LowHpPercThreshold,"Low HP percentage threshold",
LV.BHP.LowHpPercThresholdDesc,"The HP percentage threshold below which a warning will be shown.",
LV.BHP.LowHpWarningTitle,"Building is badly damaged",
LV.BHP.LowHpWarningDesc,"The building may be destroyed if further damaged. Consider repairing it.",
LV.BHP.AutoRepairOn,"Auto-repair enabled on placement",
LV.BHP.AutoRepairOnDesc,"Auto-repair will be enabled when placing buildings.",
LV.BHP.AutoRepairDefaultThreshold,"Auto-repair default threshold",
LV.BHP.AutoRepairDefaultThresholdDesc,"The default HP threshold for auto-repair when placing buildings.",
LV.BHP.RepairGroup,"Repair",
LV.BHP.RepairReno,"Repair",
LV.BHP.RepairRenoDesc,"Repair the building to restore its HP. You can choose how much you want to repair it and it always takes [Days]d to finish.",
LV.BHP.RepairRenoFlavor,"A patch here, a beam there, good as new!",
LV.BHP.Renovations,"Renovations",
LV.BHP.Renovate,"Renovate building",
LV.BHP.NoRenovation,"No renovation available for this building.",
LV.BHP.ReinforceGroup,"Reinforcement",
LV.BHP.ReinforceEff,"Increases building Durability by {0:+0}.",
LV.BHP.Reinforce1,"Wooden Reinforcement",
LV.BHP.Reinforce1Desc,"Increases the building Durability by {0:+0}. Only one type of reinforcement can be active at a time.",
LV.BHP.Reinforce1Flavor,"A few extra beams and braces — sometimes all you need is more wood.",
LV.BHP.Reinforce2,"Ironclad Frames",
LV.BHP.Reinforce2Desc,"Increases the building Durability by {0:+0}. Only one type of reinforcement can be active at a time.",
LV.BHP.Reinforce2Flavor,"Iron bones for wooden homes. Stronger, heavier... squeakier.",
LV.BHP.Reinforce3,"Timber-Steel Fusion Reinforcement",
LV.BHP.Reinforce3Desc,"Increases the building Durability by {0:+0}. Only one type of reinforcement can be active at a time.",
LV.BHP.Reinforce3Flavor,"Wood and steel, bound together in stubborn harmony.",
LV.BHP.ReinforceInvul,"Project Amberwall",
LV.BHP.ReinforceInvulDesc,"Temporarily makes the building invulnerable for {0} days.",
LV.BHP.ReinforceInvulFlavor,"A golden coat of resin, sealing every crack until nothing gets through.",
LV.BHP.ReinforceGear,"Metal Gear Solid",
LV.BHP.ReinforceGearDesc,"Increases building Durability by {0:+0} and Productivity by {1:+0%} if it's a manufactory.",
LV.BHP.ReinforceGearFlavor,"Heavy-duty gears, reinforced with solid metal. Cardboard box included.",A reference to the Metal Gear Solid game
LV.BHP.NoNeedRepair,"Building does not need repairs.",
LV.BHP.NoReinforcement,"No reinforcement yet",
LV.BHP.HigherReinforce,"Higher reinforcement is already applied.",
LV.BHP.RenoTime,"⏱️ Renovation time: {0} days",
LV.BHP.RenoPriority,"Renovation materials priority:",
LV.BHP.RenoPriorityShort,"Materials",
LV.BHP.AlreadyActive,"Renovation is already active.",
LV.BHP.NoGearBuilding,"This renovation is only for buildings that use gears",
LV.BHP.RenovationNote,"- Once started, the building will start gathering materials and the time only counts down when all materials are collected.
- Collecting materials and renovating does <b>NOT</b> require Builders or Haulers. They are done automatically. However, materials are only taken once all materials are available in the stockpiles, it cannot be taken gradually.
- Only one renovation can be active at a time for each building. You can cancel it at any time (except certain renovations) but no materials will be refunded once gathered.",
LV.BHP.StartRenovation,"Start this renovation",
Empty,"",
LV.BHP.RepairAmount,"Repair amount:",
LV.BHP.RepairHP,"Repairing {0:+0%}HP, after repair it will have {1} + {2} = {3}HP.",
LV.BHP.SupplyRenovation,"Supply materials for renovations",
LV.BHP.SupplyPriority,"Supply priority",
LV.BHP.CancelReno,"Cancel renovation",
LV.BHP.CancelRenoConfirm,"Are you sure you want to cancel the renovation? No materials will be refunded.",
LV.BHP.CancelRenoYes,"Yes, cancel renovation",
LV.BHP.CancelNo,"No, keep renovating",
LV.BHP.CurrentRenovation,"Current renovation: {0}",
LV.BHP.WaitingForMaterial,"Waiting for materials",
LV.BHP.NoMaterialShort,"Renovation lacks materials",
LV.BHP.NoCancel,"<RedHighlight>This renovation CANNOT BE CANCELLED once started.</RedHighlight>",
LV.BHP.CompletedReno,"Completed renovations",
LV.BHP.ActiveReno,"<YellowHighlight>Active</YellowHighlight>",
LV.BHP.RenoLog,"<YellowHighlight>Completion log</YellowHighlight>",
LV.BHP.RenoLogEntry,"• {0}: {1}d ago",
LV.BHP.None,"None",
LV.BHP.BaseDurability,"Base HP: {0}",
LV.BHP.BaseDurabilityWithInvul,"Base HP: {0} (Invulnerable)",
LV.BHP.ProductionGroup,"Production",
LV.BHP.ProdOverdrive,"Production Overdrive",
LV.BHP.ProdOverdriveDesc,"Increases the building Productivity by {0:+0%} but it loses {1}HP every hour for {2:0.0} days.
After that, Productivity is reduced by {3:0%} for {4:0.0} days.",
LV.BHP.ProdOverdriveFlavor,"The forebeavers wrote in their notes: 'Temporary efficiency boost.' They did not mention the smell of smoke.",
LV.BHP.NotWorkplace,"This renovation is only for Workplace buildings (buildings that have workers)",
LV.BHP.HousingGroup,"Housing",
LV.BHP.DwellingDecorative,"Decorative Carvings",
LV.BHP.DwellingDecorativeDesc,"Beavers living in this dwelling gain 'Decorative Carvings' need boost",
LV.BHP.DwellingDecorativeFlavor,"'Every log tells a story now, though some look more like teeth marks than art.'"
LV.BHP.NotDwelling,"This renovation is only for Housing buildings",
LV.BHP.ActiveEffects,"Active effects",
LV.BHP.ActiveEffect,"• <i>{0}</i>
{1}",
LV.BHP.ActiveEffectTime,"{0:0.00}d remaining",
LV.BHP.ProdOverdriveFirstPhase,"Production Overdrive (Overdrive phase)",
LV.BHP.ProdOverdriveSecondPhase,"Production Overdrive (Cooldown phase)",
LV.BHP.ProdOverdriveFirstPhaseDesc,"Increases productivity by {0:+0%}, but the building loses {1}HP every hour. After this time, it enters cooldown.",
